"# Dexity Intel — real forward-deployed-engineer postings (strict title). Source: public ATS boards, July 2026 rolling scan."

company,job_title,word_count
scaleai,"Director, Forward Deployed Engineering",1100
scaleai,"Director of Product Management, Forward Deployed & Strategy",493
scaleai,"Forward Deployed Engineer, GenAI ",1118
scaleai,"Forward Deployed Product Manager, Enterprise",1146
scaleai,"Forward Deployed Software Engineer, Public Sector",1134
scaleai,"Senior Full-Stack Software Engineer, (Forward Deployed), GPS",710
scaleai,"Sr Staff ML Forward Deployed Engineer, Enterprise GenAI",538
scaleai,"Staff Full-Stack Software Engineer, (Forward Deployed), GPS",778
scaleai,"Staff FullStack Software Engineer, (Forward Deployed), GPS",909
arizeai,"Forward Deployed AI Engineer, East",774
arizeai,"Forward Deployed AI Engineer, EMEA",748
arizeai,"Forward Deployed AI Engineer, West",775
arizeai,"Forward Deployed Engineer, APJ",693
databricks,AI Engineer - FDE (Forward Deployed Engineer),583
databricks,"Director, AI Forward Deployed Engineering (FDE)",799
databricks,"Field Technical Program Manager, Forward Deployed Engineering - LATAM",744
databricks,Forward Deployed Engineer,769
databricks,Forward Deployed Engineer - Emerging Enterprise & DNB,785
databricks,Forward Deployed Engineer - FDE (Fullstack),769
databricks,Forward Deployed Engineer - FDE (Fullstack) - Digital Native Business ,898
databricks,"Head of AI Forward Deployed Engineering (FDE), Public Sector",857
databricks,"Manager, Forward Deployed Engineering",743
databricks,"Manager, Forward Deployed Engineering - CMEG",892
databricks,"Manager, Forward Deployed Engineering - Manufacturing",888
databricks,Senior Forward Deployed Engineer,770
databricks,Senior Forward Deployed Engineer - Full stack,770
databricks,"Senior Forward Deployed Engineer, Full Stack",781
databricks,"Senior Manager, Forward Deployed Engineering (Full Stack) x 2 New roles",686
databricks,Sr. AI Engineer - FDE (Forward Deployed Engineer) - U.S. Federal Sector,761
databricks,"Sr. Engagement Manager, Forward Deployed Engineering",610
databricks,"Sr. Engagement Manager, Forward Deployed Engineering - LATAM",461
databricks,"Sr. Field Technical Program Manager, Forward Deployed Engineering",875
databricks,"Sr. Field Technical Program Manager, Forward Deployed Engineering - Canada",746
databricks,"Sr. Field Technical Program Manager, Forward Deployed Engineering - Public Sector",885
databricks,Sr Forward Deployed Engineer,769
databricks,Sr. Forward Deployed Engineer,571
databricks,"Sr. Forward Deployed Engineer - Communications, Media, Entertainment & Games",926
databricks,"Sr. Forward Deployed Engineer- Communications, Media, Entertainment & Games",926
